Date,Multiple Dates,Company Type,Repeat Company [Leads],Repeat Company [Event],Event,Facilitator,Activity,Event Type,Half/Full,AM/PM,Num of Pax,Account Manager,Sales Manager,Num of Responses,Positive,Negative,Event Rating,Team Bonding,Facilitator Rating,Motivation,Values & Decision Making,Customer Service/Communication,Time Management/Productivity,Emotional Intelligence,Cultural Competency/Diversity,Building Rapport,Conflict Management,Leading Change,,,,,,,,,,
28-06-2019,,FMCG,,Yes,P&G,Farhan,Treasure Hunt,Professional,Half,PM,25,Farhan,,2,,,7.5,8,8,2,0,0,0,0,0,2,0,2,,,,,,,,,,
28-06-2019,,Institution,,No,Spectra,Jedde,MBTI + Running Man (Environmental Sustainability),Professional,Half,PM,110,Darrell,Barbara,-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
28-06-2019,,Institution,,No,Lighthouse School,Barbara,60 Seconds,Expert,Half,PM,20,Adrian,Patrik,2,,,9,9.5,9.5,2,0,0,0,2,0,2,2,0,,,,,,,,,,
28-06-2019,,Manufacturing,,No,Georgfischer,Guide,Wild Goats,Guided,Half,PM,25,Farhan,PV,1,,,9,9,9,1,1,1,0,0,0,0,0,0,,,,,,,,,,
01-07-2019,,,,No,DRX Group,James,60 Seconds,Professional,Full,FULL,100,Jedde,Jasline,1,,,7,7,8,1,0,0,0,0,0,1,1,0,,,,,,,,,,
02-07-2019,,,,No,SIT,Darrell,Food Heritage Trail,Professional,Half,PM,30,Jayden,Patrik,20,,,8.7,8.7,9,12,5,2,6,9,3,7,8,5,,,,,,,,,,
05-07-2019,,,,No,Tecsia,Guide,Wild Goats,Guided,Half,AM,35,Kalebh,Jasline,2,,,8.5,8.5,9,2,1,1,1,0,1,0,1,0,,,,,,,,,,
05-07-2019,,,,Yes,Autodesk,Darrell,Sandcastle Building,Professional,Half,PM,30,Jayden,Patrik,6,,,8.5,9.3333,9.3333,2,3,1,3,2,2,2,0,1,,,,,,,,,,
06-07-2019,,,,No,Fullerton Health,James,DISC,Expert,Half,AM,12,-,Patrik,12,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019,,Education,,No,University of Toronto,Kalebh,Discover Singapore,Professional,Half,PM,41,Jayden,Patrik,14,,,8.8571,9.4286,9.4286,6,7,4,5,6,5,6,3,4,,,,,,,,,,
09-07-2019,,Technology,,Yes,Google,James,Food Heritage Trail,Professional,Half,PM,108,Jayden,Praveen,1,,,9,9,9,0,1,0,0,1,0,0,0,1,,,,,,,,,,
09-07-2019,,,,No,Zodiac Aerospace,Darrell,Treasure Hunt + Discover Singapore,Expert,Half,PM,20,Kalebh,Patrik,1,,,9,9,9,0,0,0,0,0,1,0,0,0,,,,,,,,,,
